file_names,dascot_routing_avg,dascot_map_time_avg,dascot_best_mapping,dascot_best_mapping_route_avg,similarity_routing_avg,similarity_best_mapping,similarity_best_mapping_route_avg,bootstrapped_routing_avg,bootstrapped_map_time_avg,bootstrapped_best_mapping,bootstrapped_best_mapping_route_avg
4q_100gates_78.qasm,100.0,4.3050848426006265,"{""0"": 16, ""1"": 6, ""2"": 18, ""3"": 8}",100.0,100.0,"{""3"": 18, ""0"": 16, ""1"": 8, ""2"": 6}",100.0,100.0,0.013405789999524131,"{""3"": 16, ""2"": 6, ""0"": 18, ""1"": 8}",100.0
3q_100gates_16.qasm,75.16,6.040904523796053,"{""0"": 16, ""1"": 8, ""2"": 18}",67.8,76.52,"{""0"": 16, ""1"": 18, ""2"": 8}",68.6,81.44444444444444,0.013966803002404049,"{""2"": 16, ""0"": 18, ""1"": 8}",77.0
